year,san_miguel,santa_rosa,santa_cruz,santa_catalina,san_clemente,san_nicolas
1994,450,1780,1465,1342,1003,520
1998,65,100,800,200,550,550
2000,15,15,80,103,780,450
2002,22,32,62,240,450,500
2004,56,51,132,294,450,500
2006,96,82,300,536,400,506
2008,399,122,736,871,400,725
2010,501,317,1075,1008,924,500
2012,341,637,1800,1502,850,640
2014,350,874,2700,1717,1011,263
2016,330,1561,2371,1407,880,250
